location,campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted,number_of_pages_pre,number_of_total_errors_pre,number_of_critical_errors_pre,number_of_serious_errors_pre,number_of_moderate_errors_pre,number_of_minor_errors_pre,number_of_pages_post,number_of_total_errors_post,number_of_critical_errors_post,number_of_serious_errors_post,number_of_moderate_errors_post,number_of_minor_errors_post,number_of_words,number_of_unique_words,ease_of_reading,error-type_label_pre,error-type_color-contrast_pre,error-type_duplicate-id_pre,error-type_heading-order_pre,error-type_button-name_pre,error-type_link-name_pre,error-type_label_post,error-type_color-contrast_post,error-type_duplicate-id_post,error-type_heading-order_post,error-type_button-name_post,error-type_link-name_post,error-type_aria-allowed-role_pre,error-type_frame-title_pre,error-type_landmark-no-duplicate-banner_pre,error-type_region_pre,error-type_page-has-heading-one_pre,error-type_duplicate-id-aria_pre,error-type_empty-heading_pre,error-type_aria-valid-attr-value_pre,error-type_aria-allowed-role_post,error-type_frame-title_post,error-type_landmark-no-duplicate-banner_post,error-type_region_post,error-type_page-has-heading-one_post,error-type_duplicate-id-aria_post,error-type_empty-heading_post,error-type_aria-valid-attr-value_post,error-type_listitem_pre,error-type_aria-required-children_pre,error-type_landmark-banner-is-top-level_pre,error-type_tabindex_pre,error-type_autocomplete-valid_pre,error-type_label-title-only_pre,error-type_meta-viewport_pre,error-type_html-has-lang_pre,error-type_landmark-one-main_pre,error-type_image-redundant-alt_pre,error-type_bypass_pre,error-type_image-alt_pre,error-type_duplicate-id-active_pre,error-type_listitem_post,error-type_aria-required-children_post,error-type_image-redundant-alt_post,error-type_landmark-banner-is-top-level_post,error-type_tabindex_post,error-type_autocomplete-valid_post,error-type_label-title-only_post,error-type_meta-viewport_post,error-type_html-has-lang_post,error-type_landmark-one-main_post,error-type_image-alt_post,error-type_bypass_post,error-type_duplicate-id-active_post,error-type_checkboxgroup_pre,error-type_checkboxgroup_post,error-type_aria-valid-attr_pre,error-type_aria-valid-attr_post,error-type_aria-roles_pre,error-type_landmark-main-is-top-level_pre,error-type_aria-roles_post,error-type_landmark-main-is-top-level_post,error-type_landmark-no-duplicate-contentinfo_pre,error-type_frame-title-unique_pre,error-type_landmark-no-duplicate-contentinfo_post,error-type_frame-title-unique_post,error-type_skip-link_post,error-type_document-title_pre,error-type_document-title_post,error-type_skip-link_pre,error-type_scope-attr-valid_pre,error-type_scope-attr-valid_post,error-type_definition-list_pre,error-type_list_pre,error-type_definition-list_post,error-type_list_post,error-type_aria-allowed-attr_pre,error-type_aria-allowed-attr_post
"Atlanta, GA",https://kasimreed.com/,Mayor,Open,Previously-Elected,Won,General,96158,21541,0.2240167225,,,#DIV/0!,Contacted,28,224,91,86,19,28,32,252,103,98,19,32,15076,2637,48.8190625,87.0,84.0,28.0,19.0,4.0,2.0,99.0,96.0,32.0,19.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boston, MA",https://www.annissaforboston.com/,Mayor,Challenger,In-Office,Lost,General,76953,29963,0.389367536,,,#DIV/0!,Contacted,35,790,145,287,109,249,35,790,145,287,109,249,47078,4206,37.28352941176471,140.0,210.0,71.0,23.0,0.0,42.0,140.0,210.0,71.0,23.0,0.0,42.0,175.0,35.0,35.0,35.0,16.0,4.0,3.0,1.0,175.0,35.0,35.0,35.0,16.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boston, MA",https://www.michelleforboston.com/,Mayor,Challenger,In-Office,Won,General,76953,46990,0.610632464,,,#DIV/0!,Contacted,177,1527,247,906,171,203,181,1235,138,774,61,262,103159,7951,42.53712707182321,13.0,7.0,24.0,7.0,113.0,145.0,13.0,7.0,25.0,7.0,0.0,3.0,174.0,0.0,0.0,116.0,2.0,0.0,2.0,2.0,179.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,696.0,115.0,43.0,38.0,9.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,716.0,120.0,56.0,43.0,25.0,16.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Buffalo, NY",https://byronbrown.com/,Mayor,Incumbent,In-Office,Lost,General,23186,10669,0.4601483654,,,#DIV/0!,Contacted,15,109,7,46,39,17,15,109,7,46,39,17,2895,831,71.21733333333334,6.0,32.0,0.0,1.0,0.0,12.0,6.0,32.0,0.0,1.0,0.0,12.0,2.0,1.0,0.0,15.0,8.0,0.0,15.0,0.0,2.0,1.0,0.0,15.0,8.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Buffalo, NY",https://www.indiawalton.com/,Mayor,Challenger,Never-Held-Office,Won,General,23186,11718,0.5053911843,,,#DIV/0!,Contacted,205,2122,24,1795,96,207,207,2432,30,2094,99,209,8080,919,78.31299019607853,4.0,614.0,1.0,18.0,1.0,883.0,4.0,870.0,1.0,18.0,1.0,889.0,206.0,49.0,0.0,0.0,78.0,0.0,0.0,0.0,208.0,49.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,79.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,79.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cincinnati, OH",https://aftabformayor.com/,Mayor,Open,In-Office,Won,General,51402,33799,0.6575425081,,,#DIV/0!,Not-Contacted,7,154,11,125,18,0,1,8,4,1,3,0,252,149,60.35,2.0,37.0,0.0,3.0,0.0,88.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cleveland, OH",https://www.bibbforcle.com/,Mayor,Open,Never-Held-Office,Won,General,57490,36138,0.6285962776,,,#DIV/0!,Contacted,41,427,99,288,32,8,42,438,104,294,32,8,15807,2015,34.03285714285713,0.0,81.0,3.0,8.0,16.0,207.0,0.0,82.0,3.0,8.0,17.0,212.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,81.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cleveland, OH",https://www.kevinforcle.com/,Mayor,Open,In-Office,Lost,General,57490,21352,0.3714037224,,,#DIV/0!,Contacted,56,1632,436,1071,113,12,56,1632,436,1071,113,12,5657,1263,51.77226415094336,432.0,962.0,3.0,4.0,0.0,105.0,432.0,962.0,3.0,4.0,0.0,105.0,0.0,1.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Detroit, MI",https://dugganfordetroit.com/,Mayor,Incumbent,In-Office,Won,General,91703,69329,0.7560167061,,,#DIV/0!,Contacted,8,171,87,60,24,0,8,171,87,60,24,0,537,60,56.17625,36.0,10.0,0.0,0.0,0.0,42.0,36.0,10.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Seattle, WA",https://lorenaforseattle.com/,Mayor,Open,In-Office,Lost,General,198359,74893,0.3775629036,,,#DIV/0!,Contacted,6,99,1,75,18,5,6,98,1,74,18,5,2532,727,50.370000000000005,0.0,50.0,0.0,2.0,0.0,6.0,0.0,50.0,0.0,2.0,0.0,6.0,5.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
