Location,Office,Election Date,Election Type,Name,Incumbent,Website,Contact Email,First Contact,Sender
"Atlanta, GA",Mayor,11/2/2021,General,Felicia Moore,No,https://www.feliciamooreformayor.com/,info@feliciamooreformayor.com,,
"Atlanta, GA",Mayor,11/2/2021,General,Kasim Reed,No,https://kasimreed.com/,info@kasimreed.com,10.28,Nic
"Boston, MA",Mayor,11/2/2021,General,Annissa Essaibi George,No,https://www.annissaforboston.com/,info@annissaforboston.com,10.28,Nic
"Boston, MA",Mayor,11/2/2021,General,Michelle Wu,No,https://www.michelleforboston.com/,info@michelleforboston.com,10.28,Nic
"Buffalo, NY",Mayor,11/2/2021,General,Byron Brown,Yes,https://byronbrown.com/,info@ByronBrown.com,10.28,Nic
"Buffalo, NY",Mayor,11/2/2021,General,India Walton,No,https://www.indiawalton.com/,info@indiawalton.com,10.28,Nic
"Cincinnati, OH",Mayor,11/2/2021,General,David Mann,No,https://mannforcincinnati.com/,,10.28,Nic
"Cincinnati, OH",Mayor,11/2/2021,General,Aftab Pureval,No,https://aftabformayor.com/,info@aftabformayor.com,,
"Cleveland, OH",Mayor,11/2/2021,General,Justin Bibb,No,https://www.bibbforcle.com/,info@bibbforcle.com,10.28,Nic
"Cleveland, OH",Mayor,11/2/2021,General,Kevin Kelley,No,https://www.kevinforcle.com/,kevin@kevinforcle.com,10.28,Nic
"Detroit, MI",Mayor,11/2/2021,General,Mike Duggan,Yes,https://dugganfordetroit.com/,info@dugganforddetroit.com,10.28,Nic
"Detroit, MI",Mayor,11/2/2021,General,Anthony Adams,No,https://anthonyadamsformayor.com/,xina@xinapr.com ,10.28,Nic
"Seattle, WA",Mayor,11/2/2021,General,M. Lorena Gonzalez,No,https://lorenaforseattle.com/,info@lorenaforseattle.com,10.28,Nic
"Seattle, WA",Mayor,11/2/2021,General,Bruce Harrell,No,https://www.bruceforseattle.com/,info@bruceforseattle.com,10.28,Nic
"St. Petersburg, FL",Mayor,11/2/2021,General,Robert G. Blackmon,No,https://blackmon4stpete.com/,info@blackmon4stpete.com,,
"St. Petersburg, FL",Mayor,11/2/2021,General,Kenneth Welch,No,https://www.kenwelch.com/,votewelch@gmail.com,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Jacob Frey,Yes,https://jacobfrey.org/,replies@jacobfrey.org,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,AJ Awed,No,https://awed4mayor.org/,info@awed4mayor.org,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Clint Conner,No,https://clintconner2021.com/,info@clintconner2021.com,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Mark Globus,No,https://www.globusformayor.com/,https://www.globusformayor.com/contact/,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Katherine Knuth,No,https://mplsforkate.com/,info@kateformpls.org,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Sheila Nezhad,No,https://www.sheilaforthepeople.com/,info@sheilaforthepeople.com,,
"Minneapolis, MN",Mayor,11/2/2021,General,Bob Carney Jr.,No,https://www.votebobagain.com/,votebobagain@gmail.com,10.28,Nic
"Minneapolis, MN",Mayor,11/2/2021,General,Laverne Turner,No,https://turnerroundmpls.com/,TurnerRoundMPLS@Gmail.com,10.28,Nic
"Seattle, WA",City Council,11/2/2021,General,Teresa Mosqueda,Yes,https://www.teamteresa.org/,info@teamteresa.org,10.28,Nic
"Seattle, WA",City Council,11/2/2021,General,Kenneth Wilson,No,https://www.kenforcouncil8.com/,KenForCouncil8@att.net,10.28,Nic
"Seattle, WA",City Council,11/2/2021,General,Sara Nelson,No,https://www.saraforcitycouncil.com/,info@saraforcitycouncil.com,10.28,Nic
"Seattle, WA",City Council,11/2/2021,General,Nikkita Oliver,No,https://www.nikkitafornine.com/,info@nikkita4nine.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Helena Moreno,Yes,https://www.helenamorenola.com/,LetsGo@HelenaMorenoLA.com,,
"New Orleans, LA",City Council,11/13/2021,Primary,Kenneth Cutno,No,https://kennethcutno.com/,,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Jared Brossett,No,https://www.votebrossett.com/,info@votebrossett.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Jean-Paul J. Morrell,No,https://www.jpmorrell.com/,https://www.jpmorrell.com/contact-us,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Kristin Palmer,No,https://www.palmer4nola.com/,info@palmer4nola.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Bart Everson,No,https://barteverson.com/,campaign@barteverson.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Joe Giarrusso  III,Yes,https://www.joegiarrusso.com/,jig3campaign@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Robert Murrell,No,https://www.bob4districta.com/,electbobmurrell@gmail.com,,
"New Orleans, LA",City Council,11/13/2021,Primary,Amy Misko,No,https://misko4citycouncil.org/,misko4citycouncildistricta@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Jay Banks,Yes,https://www.votejayhbanks.com/,teamjay@votejayhbanks.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Lesli Harris,No,https://www.lesliharris4nola.com/,,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Timothy David Ray,No,https://timothydavidray.com/,info@TimothyDavidRay.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Rella Zapletal,No,https://www.teamrellaz.com/,join@teamrellaz.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Rosalind Reed-Thibodeaux,No,https://rizewithroz.com/,Rizewithroz@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Stephanie Bridges,No,https://www.stephanieforcouncil.com/,team@stephanieforcouncil.com,,
"New Orleans, LA",City Council,11/13/2021,Primary,Freddie King III,No,https://www.electfreddieking.com/,Info@ElectFreddieKing.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Alonzo Knox,No,https://www.vote4knox.com/,info@vote4knox.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Stephen Mosgrove,No,https://stephenmosgrove.com/,vote@stephenmosgrove.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Frank Perez,No,https://www.frankperezcitycouncil.com/,Perez4citycouncil@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Barbara Waiters,No,https://waitersfordistrictc.com/,scroll to contact us portion of website,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Chantrisse Burnett,No,https://chantrissefordistrictd.com/,FriendsofCBurnett@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Morgan Clevenger,No,https://morganclevenger.com/,info@morganclevenger.com,,
"New Orleans, LA",City Council,11/13/2021,Primary,Troy Glover,No,https://votetroyglover.com/,,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Eugene Green,No,https://voteeugenegreen.com/,scroll to contact us portion of website,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Kevin Griffin-Clark,No,https://kevingriffinclark.com/,scroll to contact us portion of website,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Mark Lawes,No,https://www.lawesforneworleans.com/,https://www.lawesforneworleans.com/contact-3,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Mariah Moore,No,https://www.mariahmoorefornola.com/,,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Robert Murray,No,https://www.runwithmurray.com/,RUNWITHMURRAY@GMAIL.COM,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Keith Parker,No,https://kp4districtd.godaddysites.com/,https://kp4districtd.godaddysites.com/volunteer,,
"New Orleans, LA",City Council,11/13/2021,Primary,Timolynn Sams,No,https://www.togetherwithtimolynn.com/,info@togetherwithtimolynn.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Kourtney Youngblood,No,https://www.kourtneyyoungblood.com/,youngblooddistrictd@gmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Chelsea Ardoin,No,https://www.chelseaardoin.com/,"
CAN@ChelseaArdoin.com",10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Anthony Doby,No,https://www.doby4districtd.com/,Adobee99@hotmail.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Michon Copelin,No,https://www.votecopelin.com/,info@votecopelin.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Vanessa Gueringer,No,https://www.vanessaforcommunity.com/,vote@vanessaforcommunity.com,10.28,Nic
"New Orleans, LA",City Council,11/13/2021,Primary,Aaron Miller,No,https://electaaronmiller.org/,aaronmillerdistricte@gmail.com,,
"New Orleans, LA",City Council,11/13/2021,Primary,Oliver Thomas,No,https://olivermthomas.com/,info@olivermthomas.com,10.28,Nic
"Columbia, SC",Mayor,11/16/2021,Runoff,Tameika Isaac Devine,No,https://devineformayor.com/,tameika@devineformayor.com,,
"Columbia, SC",Mayor,11/16/2021,Runoff,Daniel Rickenmann,No,https://www.rickenmannformayor.com/,,,
"New Orleans, LA",Mayor,11/13/2021,Primary,LaToya Cantrell,Yes,https://www.latoyacantrell.com/,info@latoyacantrell.com,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Luke Fontana,No,https://lukefontanaformayor.com/,admin@lukefontana.com,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Vina Nguyen,No,https://www.vinanguyen4mayor.com,https://madebyawesome.kartra.com/page/contact-us,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Leilani Heno,No,https://henolaforlife.com,https://henolaforlife.com/contact-us,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Joseph Amato,No,https://www.joeamatofornola.com/,JoeforNola@gmail.com,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Douglas Bentley I,No,https://douglasbentleyformayor.com/,douglasbentley1976@att.net,,
"New Orleans, LA",Mayor,11/13/2021,Primary,Matthew Hill,No,https://matthewhillformayor.com/,thenextmayorofneworleans17@gmail.com,,
