names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_landmark-one-main,error-type_region,error-type_link-name,error-type_label,error-type_page-has-heading-one,error-type_meta-viewport,error-type_heading-order,error-type_image-alt,error-type_bypass,error-type_empty-heading,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_tabindex,error-type_aria-allowed-role,error-type_aria-valid-attr-value,error-type_frame-title,error-type_duplicate-id-aria,error-type_skip-link,error-type_duplicate-id,error-type_html-has-lang,error-type_document-title,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_checkboxgroup,error-type_definition-list,error-type_frame-title-unique,error-type_duplicate-id-active,error-type_label-title-only,error-type_image-redundant-alt,error-type_autocomplete-valid,error-type_aria-required-children,error-type_listitem,error-type_aria-allowed-attr,error-type_list,error-type_landmark-no-duplicate-banner,error-type_landmark-contentinfo-is-top-level,error-type_input-image-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Wendell Major,Alabama,Attorney General,State,Executive,https://ballotpedia.org/Wendell_Major,https://wendellmajor.com/,,,,Democratic Party,Lost,"1,307,653","424,718",0.325,64.0,30.0,30.0,22.0,16.0,10.0,8.0,3.0,2.0,2.0,2.0,30,189,26,88,73,2,2110,483,36.808,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,0,0,15,0,0,0,9
Kris Mayes,Arizona,Attorney General,State,Executive,https://ballotpedia.org/Kris_Mayes,https://www.krismayes.com,krismayes,,,Democratic Party,Won,"2,512,390","1,254,809",0.499,10.0,,,,3.0,1.0,,,,,,1,16,3,11,1,1,436,242,61.67,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,19,11,0,0,4,0,0,0,4
John Kellner,Colorado,Attorney General,State,Executive,https://ballotpedia.org/John_Kellner,https://johnkellner.com,KellnerforCO,,,Republican Party,Lost,"2,466,328","1,060,866",0.43,,1.0,1.0,2.0,3.0,,,1.0,,,,1,12,4,3,3,2,20,20,85.02,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Stanley Thorne,Colorado,Attorney General,State,Executive,https://ballotpedia.org/Stanley_Thorne,https://thorneforattorneygeneral.com/,,,,Independent,Lost,"2,466,328","1,772",0.001,64.0,,9.0,9.0,8.0,,,5.0,,,,9,110,4,81,15,10,11225,1692,44.55222222,,9.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,4,4,0,0,0,0,0,0,0
Jessica Kordas,Connecticut,Attorney General,State,Executive,https://ballotpedia.org/Jessica_Kordas,https://www.jessicakordas2022.com/,Jkordas2022,,,Republican Party,Lost,"1,215,234","508,753",0.419,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,1,8,2,4,2,0,60,41,73.68,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Julianne Murray,Delaware,Attorney General,State,Executive,https://ballotpedia.org/Julianne_Murray,https://murrayfordelaware.com,murray4de,,,Republican Party,Lost,"319,156","147,353",0.462,1.0,1.0,1.0,,,1.0,1.0,,,,,1,7,1,3,3,0,4,4,118.18,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Aramis Ayala,Florida,Attorney General,State,Executive,https://ballotpedia.org/Aramis_Ayala,https://www.aramisayala.com/,AramisAyalaFL,,,Democratic Party,Lost,"7,016,437","2,788,438",0.397,11.0,,,6.0,,,,1.0,54.0,,,1,77,58,17,1,1,116,86,56.39,,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,6,0,0,0,1,0,0,0,5
Raúl Labrador,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Raul_Labrador,http://labrador2022.com/,RaulLabrador4ID,,Raul_Labrador,Republican Party,Won,"583,610","365,061",0.626,431.0,4.0,4.0,28.0,34.0,33.0,,25.0,,,2.0,33,591,64,459,66,2,7550,1059,46.76666667,,,,,,,,,,,,29.0,1.0,,,,,,,,,,,,,,42,14,4,0,4,0,0,0,20
Tom Arkoosh,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Tom_Arkoosh,https://www.arkooshforag.com/,ArkooshForAG,,,Democratic Party,Lost,"583,610","218,549",0.374,2.0,1.0,1.0,4.0,,,1.0,,,,2.0,1,13,1,8,2,2,673,285,47.46,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,47,25,7,0,4,0,0,0,11
Thomas DeVore,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Thomas_DeVore,https://www.tomdevore.com/,,,,Republican Party,Lost,"3,782,932","1,662,788",0.44,1122.0,80.0,89.0,271.0,297.0,46.0,,202.0,,,,93,2334,301,1418,595,20,18042,116,47.25,,3.0,,1.0,4.0,178.0,17.0,4.0,4.0,,,,,13.0,2.0,1.0,,,,,,,,,,,31,9,6,1,5,0,0,0,10
Dan Robin,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Dan_Robin,https://danrobin4ag.org/,,,,Libertarian Party,Lost,"3,782,932","84,394",0.022,13.0,,,,,,,12.0,14.0,,,13,394,15,13,12,354,3371,990,62.64153846,,326.0,,,,,28.0,,,,,1.0,,,,,,,,,,,,,,,8,5,0,0,3,0,0,0,0
Kris Kobach,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Kris_Kobach,https://kriskobach.com/,KrisKobach1787,,,Republican Party,Won,"965,214","494,021",0.512,19.0,3.0,2.0,14.0,11.0,3.0,,,,1.0,,3,64,11,45,8,0,1076,423,52.54,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,5,2,3,0,0,0,0,0,0
Chris Mann,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Chris_Mann_(Kansas),https://www.chrismannforkansas.com/,chrismannks,,,Democratic Party,Lost,"965,214","471,193",0.488,13.0,3.0,3.0,18.0,,,,,7.0,,,5,58,9,37,8,4,1187,529,70.586,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,4.0,3.0,1.0,,,,,,,92,13,4,0,27,4,0,0,44
Michael Anthony Peroutka,Maryland,Attorney General,State,Executive,https://ballotpedia.org/Michael_Anthony_Peroutka,https://patriots4peroutka.com,Patriots4Perou1,,,Republican Party,Lost,"1,467,148","586,423",0.4,87.0,,,,,3.0,,8.0,,,,59,1071,60,223,11,777,13337,1743,48.2379661,,777.0,60.0,34.0,,,,,,,,,,,,43.0,,,59.0,,,,,,,,27,8,0,0,14,0,0,0,5
Andrea Campbell,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/Andrea_Joy_Campbell,https://www.andreacampbell.org/,AndreaForAG,,,Democratic Party,Won,"1,981,739","1,241,298",0.626,606.0,72.0,123.0,294.0,40.0,2.0,5.0,95.0,83.0,,65.0,125,2166,237,1089,300,540,72931,8342,11.97725806,,154.0,22.0,20.0,57.0,2.0,303.0,4.0,,,10.0,8.0,1.0,,66.0,76.0,,18.0,3.0,2.0,12.0,8.0,8.0,3.0,3.0,1.0,305,34,2,0,120,2,0,2,145
James McMahon,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/James_McMahon,https://www.attorneyjaymcmahon.com/,attorneymcmahon,,,Republican Party,Lost,"1,981,739","740,441",0.374,182.0,,38.0,38.0,1.0,,,2.0,,,2.0,38,483,3,262,40,178,32263,1744,47.80973684,,148.0,,42.0,,,28.0,,,,,,2.0,,,,,,,,,,,,,,95,12,2,0,5,0,0,0,76
Matthew DePerno,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Matthew_DePerno,https://www.depernoformi.com/,deperno4mi,,mdeperno,Republican Party,Lost,"4,375,821","1,948,525",0.445,,4.0,4.0,8.0,,,,8.0,8.0,,11.0,4,53,8,10,16,19,1329,550,53.9175,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,41,12,0,0,11,0,0,0,18
Joe McHugh,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Joe_McHugh,https://libertystrikesback.com/,votejoemchugh,,,Libertarian Party,Lost,"4,375,821","67,826",0.016,1.0,1.0,1.0,,,,1.0,3.0,1.0,,10.0,1,36,3,10,5,18,3200,1189,46.71,,6.0,,8.0,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,97,11,6,1,6,0,1,0,72
Larry Bolinger,Nebraska,Attorney General,State,Executive,https://ballotpedia.org/Larry_Bolinger,https://larrybolinger.com,Bolinger_Larry,,,Legal Marijuana Now Party,Lost,"575,164","173,177",0.301,374.0,7.0,7.0,,,7.0,,,3.0,4.0,,7,415,3,381,21,10,15233,2589,49.33166667,,3.0,,,,,7.0,,,,,,,,,,,,,,,,3.0,,,,4,2,0,0,1,0,0,0,1
Sigal Chattah,Nevada,Attorney General,State,Executive,https://ballotpedia.org/Sigal_Chattah,https://chattah4nevada.com/,Chattah4Nevada,,chattahlaw,Republican Party,Lost,"960,042","426,202",0.444,68.0,1.0,1.0,8.0,2.0,,,1.0,,,,1,85,3,76,3,3,749,355,61.29,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0
Raul Torrez,New Mexico,Attorney General,State,Executive,https://ballotpedia.org/Raul_Torrez,https://www.raultorrez.com/,TorrezforNM,,,Democratic Party,Won,"700,128","386,862",0.553,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,1,8,2,4,2,0,60,41,73.68,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Michael Henry,New York,Attorney General,State,Executive,https://ballotpedia.org/Michael_Henry_(New_York),https://michaelhenryforag.com/,michaelhenry4ag,,michaelhenry123,Republican Party,Lost,"5,530,404","2,540,194",0.459,,38.0,38.0,400.0,4.0,,,35.0,5.0,,,38,634,9,400,149,76,14065,1844,32.88078947,,76.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Gentner Drummond,Oklahoma,Attorney General,State,Executive,https://ballotpedia.org/Gentner_Drummond,https://drummondok.com,,,,Republican Party,Won,"1,065,887","787,385",0.739,29.0,5.0,5.0,5.0,17.0,,3.0,2.0,50.0,,2.0,5,134,70,34,12,18,125,61,69.172,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,26,4,0,0,1,3,0,0,18
Charles Calenda,Rhode Island,Attorney General,State,Executive,https://ballotpedia.org/Charles_Calenda,https://chas4ag.com/,CharlesCalenda,,,Republican Party,Lost,"348,331","134,210",0.385,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1,9,1,3,4,1,14,14,91.11,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,38,8,1,0,6,0,0,0,23
