names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Alexander Remrey,Alabama 1st,House,Federal,Legislative,https://ballotpedia.org/Alexander_Remrey,https://www.votealexanderremrey.com/,alexremrey291,,,Libertarian Party,Lost,"166,051","26,197",0.158,6.0,4.0,3.0,2.0,3,15,0,10,5,0,180,41,73.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Phyllis Harvey-Hall,Alabama 2nd,House,Federal,Legislative,https://ballotpedia.org/Phyllis_Harvey-Hall,https://www.phyllisforcongress.com/,PhyllisDHHall,,,Democratic Party,Lost,"198,373","57,800",0.291,17.0,1.0,,1.0,1,33,8,22,2,1,550,276,64.1,7.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,18,3,0,8,4,0,0,56
Jonathan Realz,Alabama 2nd,House,Federal,Legislative,https://ballotpedia.org/Jonathan_Realz,https://voteforjonathan.com/,Jonathan4Realz,,,Libertarian Party,Lost,"198,373","3,380",0.017,2.0,,,1.0,1,11,4,4,3,0,155,79,74.08,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Douglas Bell,Alabama 3rd,House,Federal,Legislative,https://ballotpedia.org/Douglas_Bell,https://dbellforuscongress.com/,,,,Independent,Lost,"190,071","3,826",0.02,149.0,30.0,,,10,200,0,180,1,19,8121,1558,2.622,,,,,1.0,9.0,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,9,4,0,5,0,0,0,25
Thomas Casson,Alabama 3rd,House,Federal,Legislative,https://ballotpedia.org/Thomas_Casson,http://www.sickofdc.com/,,,thomascassonAL,Libertarian Party,Lost,"190,071","3,027",0.016,152.0,60.0,10.0,17.0,17,290,32,213,45,0,11473,1499,66.720625,1.0,,,,1.0,,,,,,17.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,0,0,2,0,0,0,8
Johnny C. Cochran,Alabama 4th,House,Federal,Legislative,https://ballotpedia.org/Johnny_C._Cochran,https://www.johnnyccochran4al.com/,JohnnyCCochran,,,Libertarian Party,Lost,"195,305","4,297",0.022,1.0,,,1.0,1,5,1,2,2,0,108,78,55.95,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0
P.J. Greer,Alabama 5th,House,Federal,Legislative,https://ballotpedia.org/P.J._Greer,https://www.thevoteforpj.com,thevoteforpj,,,Libertarian Party,Lost,"211,194","6,740",0.032,,,4.0,1.0,1,118,13,0,5,100,1408,546,69.41,,,,,,90.0,10.0,,,,,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,0,4,0,0,0,0
Beatrice Nichols,Alabama 7th,House,Federal,Legislative,https://ballotpedia.org/Beatrice_Nichols,https://www.bfor7thdistrict.com/,NicholsCongress,,,Republican Party,Lost,"195,620","67,353",0.344,72.0,2.0,1.0,,15,99,18,75,5,1,7618,1477,38.352,,,,,4.0,,,,,,,1.0,1.0,11.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,18,0,0,7,0,0,0,53
Sarah Palin,Alaska 1st,House,Federal,Legislative,https://ballotpedia.org/Sarah_Palin,https://sarahforalaska.com/,SarahPalinUSA,,,Republican Party,Lost,"264,589","112,471",0.45,182.0,4.0,,,18,241,0,186,0,55,306,17,96.18,,,,,,54.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Chris Bye,Alaska 1st,House,Federal,Legislative,https://ballotpedia.org/Chris_Bye,https://itstimealaska.com/,,,,Libertarian Party,Lost,"264,589",0,0.0,53.0,26.0,12.0,7.0,12,164,43,90,31,0,906,286,77.9375,25.0,,,,12.0,,18.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0,0,5,0,0,0,0
