names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_region,error-type_aria-allowed-role,error-type_tabindex,error-type_heading-order,error-type_landmark-one-main,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_duplicate-id,error-type_skip-link,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_frame-title,error-type_page-has-heading-one,error-type_bypass,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_label,error-type_html-has-lang,error-type_landmark-no-duplicate-banner,error-type_frame-title-unique,error-type_document-title,error-type_definition-list,error-type_list,error-type_checkboxgroup,error-type_empty-heading,error-type_duplicate-id-aria,error-type_landmark-no-duplicate-contentinfo,error-type_image-alt,error-type_meta-viewport,error-type_aria-required-attr,error-type_listitem,error-type_radiogroup,error-type_landmark-contentinfo-is-top-level,error-type_image-redundant-alt,error-type_landmark-main-is-top-level,error-type_autocomplete-valid,error-type_label-title-only,error-type_duplicate-id-active,error-type_landmark-banner-is-top-level,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Steve Landers,"Little Rock, Arkansas",Mayor,City,Executive,https://ballotpedia.org/Steve_Landers,https://landersforlr.com,SteveLittleRock,,,Nonpartisan,Lost,"63,308","25,744",0.407,328.0,32.0,32.0,32.0,23.0,20.0,10.0,7.0,7.0,3.0,2.0,32,496,14,383,64,35,8098,1267,56.25064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,16,1,0,69,7,1,0,100
Greg Henderson,"Little Rock, Arkansas",Mayor,City,Executive,https://ballotpedia.org/Greg_Henderson,https://jgreghenderson.com/,jgreghenderson,,,Nonpartisan,Lost,"63,308","5,036",0.08,4.0,,2.0,4.0,,,2.0,,,,4.0,2,21,0,7,10,4,991,428,70.735,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51,14,6,1,6,0,0,0,24
Ashleigh Aitken,"Anaheim, California",Mayor,City,Executive,https://ballotpedia.org/Ashleigh_Aitken,https://www.ashleighaitken.com/,,,,Nonpartisan,Won,"67,188","28,803",0.429,38.0,,,,,1.0,,,,2.0,,11,55,13,38,2,2,2105,744,47.82909091,,1.0,,5.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,52,14,1,0,5,0,0,0,32
Lorri Galloway,"Anaheim, California",Mayor,City,Executive,https://ballotpedia.org/Lorri_Galloway,https://lorrigalloway.com/,,,,Nonpartisan,Lost,"67,188","11,444",0.17,2.0,3.0,3.0,,,3.0,3.0,,,2.0,8.0,3,29,5,5,17,2,133,66,65.25333333,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,21,4,0,0,3,0,0,0,14
Farrah Khan,"Irvine, California",Mayor,City,Executive,https://ballotpedia.org/Farrah_Khan,https://www.farrahnkhan.com/,,FarrahNK,farrahsafiakhan,Nonpartisan,Won,"77,730","29,370",0.378,41.0,,,,,3.0,,,,,,8,45,1,41,3,0,2909,967,42.58,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,47,9,0,0,5,0,0,0,33
Branda Lin,"Irvine, California",Mayor,City,Executive,https://ballotpedia.org/Branda_Lin,https://brandalinformayor.com/,BrandaLinIrvine,,,Nonpartisan,Lost,"77,730","21,396",0.275,147.0,6.0,35.0,40.0,,,21.0,,,3.0,,39,381,67,180,90,44,12792,1750,79.0974359,,19.0,,,,,66.0,4.0,15.0,12.0,4.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,50,11,2,0,4,4,0,0,29
Katherine Daigle,"Irvine, California",Mayor,City,Executive,https://ballotpedia.org/Katherine_Daigle,http://katherinedaigle.com/,,,,Republican Party,Lost,"77,730","7,126",0.092,,8.0,1.0,1.0,,,1.0,,,1.0,,1,15,2,8,3,2,1702,735,22.18,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,22,9,0,0,10,0,0,0,3
Tom Chomyn,"Irvine, California",Mayor,City,Executive,https://ballotpedia.org/Tom_Chomyn,https://www.tom4mayor.org/,,,,Nonpartisan,Lost,"77,730","5,096",0.066,4.0,,3.0,2.0,,,3.0,,,,,4,14,0,4,8,2,986,502,75.1075,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,9,7,1,0,1,0,0,0,0
Rex Richardson,"Long Beach, California",Mayor,City,Executive,https://ballotpedia.org/Rex_Richardson,https://www.joinrexrichardson.com/,RexRichardson,,,Nonpartisan,Won,"111,536","63,184",0.566,1520.0,269.0,55.0,87.0,,51.0,54.0,,1.0,9.0,2.0,81,2417,258,1845,217,97,40127,3748,52.23222222,,53.0,,26.0,,1.0,50.0,53.0,,,,,,1.0,1.0,,1.0,144.0,27.0,7.0,3.0,1.0,1.0,,,,,,,47,16,2,0,13,0,0,0,16
Karen Bass,"Los Angeles, California",Mayor,City,Executive,https://ballotpedia.org/Karen_Bass,https://karenbass.com/,KarenBassLA,RepKarenBass,,Democratic Party,Won,"929,974","509,944",0.548,45.0,,10.0,35.0,,38.0,31.0,1.0,1.0,,2.0,35,271,27,60,112,72,63844,7429,40.21028571,4.0,,,,,3.0,22.0,,,,,,,,2.0,,,,,,,,,35.0,31.0,6.0,5.0,,,135,12,6,0,25,8,0,0,84
Rick J. Caruso,"Los Angeles, California",Mayor,City,Executive,https://ballotpedia.org/Rick_Caruso,https://carusocan.com/,RickCarusoLA,,,Nonpartisan,Lost,"929,974","420,030",0.452,12.0,,3.0,,,,,3.0,3.0,19.0,,3,44,6,15,3,20,6066,1603,46.81,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,114,11,1,0,20,12,0,0,70
Loren Taylor,"Oakland, California",Mayor,City,Executive,https://ballotpedia.org/Loren_Taylor,https://lorenforoakland.com/,lorenmtaylor,,,Nonpartisan,Lost,"125,522","56,529",0.497,98.0,14.0,34.0,4.0,,5.0,34.0,2.0,2.0,1.0,,34,274,60,125,84,5,12197,2055,38.71617647,3.0,11.0,6.0,,,,14.0,,,,,,,,,1.0,,,34.0,4.0,,3.0,,,,4.0,,,,28,9,2,0,2,0,0,0,15
Tyron Jordan,"Oakland, California",Mayor,City,Executive,https://ballotpedia.org/Tyron_Jordan,https://www.tyronjordanforoakland.com,TyronJordan13,,,Nonpartisan,Lost,"125,522",0,0.0,63.0,17.0,1.0,13.0,,8.0,1.0,,,,1.0,16,125,21,80,11,13,4650,1356,49.73,,,,7.0,,,1.0,,,,,,,1.0,,1.0,,1.0,7.0,,,3.0,,,,,,,,29,6,0,0,6,0,0,0,17
Helen Tran,"San Bernardino, California",Mayor,City,Executive,https://ballotpedia.org/Helen_Tran,https://helentranformayor.com,,,,Nonpartisan,Won,"26,747","16,786",0.628,,,7.0,,,5.0,,,,,,7,24,9,1,14,0,1251,508,49.18666667,1.0,2.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,21,7,0,0,5,0,0,0,9
