names,location,candidate_page,electoral_position,electoral_branch,electoral_level,area,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_color-contrast,error-type_label,error-type_region,error-type_heading-order,error-type_landmark-one-main,error-type_skip-link,error-type_aria-allowed-role,error-type_page-has-heading-one,error-type_duplicate-id-active,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_duplicate-id,error-type_image-alt,error-type_label-title-only,error-type_meta-viewport,error-type_radiogroup,error-type_html-has-lang,error-type_empty-heading,error-type_landmark-no-duplicate-banner,error-type_definition-list,error-type_document-title,error-type_checkboxgroup,error-type_tabindex,error-type_duplicate-id-aria,error-type_frame-title,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_autocomplete-valid,error-type_button-name,error-type_aria-roles,error-type_bypass,error-type_listitem,error-type_frame-title-unique,error-type_landmark-no-duplicate-contentinfo,error-type_list,error-type_aria-valid-attr,error-type_meta-viewport-large,error-type_landmark-contentinfo-is-top-level,error-type_landmark-banner-is-top-level,error-type_image-redundant-alt,error-type_aria-required-attr,error-type_area-alt,error-type_input-image-alt,error-type_aria-allowed-attr,error-type_marquee,error-type_landmark-main-is-top-level,error-type_meta-refresh,error-type_dlitem,error-type_object-alt,error-type_table-duplicate-name,error-type_aria-required-parent,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Danny Carr,"Jefferson County, Alabama",https://ballotpedia.org/Danny_Carr,District attorney,Executive,County,,Won,"113,139","110,386",0.976,https://www.electdannycarr.com/,votedannycarr,,,Democratic Party,134.0,48.0,24.0,21.0,20.0,15.0,15.0,8.0,3.0,1.0,21,289,24,183,74,8,7369,1420,26.80380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Pettway,"Jefferson County, Alabama",https://ballotpedia.org/Mark_Pettway,Sheriff,Executive,County,,Won,"196,517","102,440",0.521,https://www.markpettway.com,Pettway4Sheriff,,,Democratic Party,,74.0,1.0,2.0,,,,5.0,,,11,82,1,74,2,5,1280,457,71.45363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,33.0
Jared Hudson,"Jefferson County, Alabama",https://ballotpedia.org/Jared_Hudson,Sheriff,Executive,County,,Lost,"196,517","94,077",0.479,https://www.jaredhudsonforsheriff.com/,,,,Republican Party,,2.0,6.0,8.0,,8.0,28.0,1.0,,,8,191,38,11,44,98,1378,395,42.51625,97.0,24.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,17.0,5.0,0.0,7.0,4.0,0.0,0.0,51.0
Sheila Tyson,"Jefferson County, Alabama",https://ballotpedia.org/Sheila_Tyson,County commission,Legislative,County,,Won,"29,840","29,538",0.99,https://www.sheilatyson.com,SheilaTyson4CC,,,Democratic Party,3.0,8.0,1.0,1.0,1.0,1.0,,,,,1,73,3,11,3,56,121,79,59.43,56.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0
Jimmie Stephens,"Jefferson County, Alabama",https://ballotpedia.org/Jimmie_Stephens,County commission,Legislative,County,,Won,"35,318","29,274",0.829,https://jimmiestephens.com/,,,,Republican Party,1.0,5.0,,1.0,,1.0,,,,,1,10,1,7,2,0,86,65,82.34,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Cordell,"Jefferson County, Alabama",https://ballotpedia.org/Devin_Cordell,County commission,Legislative,County,,Lost,"35,318","5,703",0.161,https://devincordell.com/,devin_cordell,,,Libertarian Party,16.0,,1.0,3.0,,,4.0,,,,4,25,0,17,7,1,833,403,47.33,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
Thomas Thrash,"Jefferson County, Alabama",https://ballotpedia.org/Thomas_Thrash_(Alabama),Judicial offices,Judicial,County,,Won,"113,210","110,121",0.973,https://www.judgethrash.com,,,,Democratic Party,,,,1.0,1.0,1.0,,,,,1,4,0,1,3,0,7,7,115.13,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kandice Pickett,"Jefferson County, Alabama",https://ballotpedia.org/Kandice_Pickett,Judicial offices,Judicial,County,,Won,"113,033","109,984",0.973,https://kandicepickett.com/,,,,Democratic Party,3.0,2.0,,,5.0,,,1.0,4.0,,4,15,0,5,9,1,516,197,64.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
Elisabeth French,"Jefferson County, Alabama",https://ballotpedia.org/Elisabeth_French,Judicial offices,Judicial,County,,Won,"113,695","110,643",0.973,https://www.judgefrench.org/,,,,Democratic Party,,,,1.0,,1.0,,,1.0,,1,60,1,0,3,56,0,0,206.84,56.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0
Alisha May,"Jefferson County, Alabama",https://ballotpedia.org/Alisha_May,Judicial offices,Judicial,County,,Won,"112,605","109,739",0.975,https://voteruffinforjudge.com/,,,,Democratic Party,,16.0,20.0,19.0,2.0,13.0,48.0,39.0,12.0,,23,228,23,28,102,75,2431,446,96.82454545,36.0,,,,,4.0,,8.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,14.0,6.0,1.0,5.0,0.0,0.0,0.0,21.0
Monica Agee,"Jefferson County, Alabama",https://ballotpedia.org/Monica_Agee,Judicial offices,Judicial,County,,Won,"112,417","109,559",0.975,https://monicaagee.company.site,monicaagee62,,,Democratic Party,,10.0,,3.0,,3.0,,9.0,,,3,25,0,10,6,9,3095,491,21.90666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrienne Powell,"Jefferson County, Alabama",https://ballotpedia.org/Adrienne_Powell,Judicial offices,Judicial,County,,Won,"109,471","109,471",1.0,https://www.votepowellforjudge.com,,,,Democratic Party,,,,1.0,,1.0,,,1.0,,1,4,1,0,3,0,211,117,58.52,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,10.0,2.0,0.0,10.0,0.0,0.0,0.0,25.0
Shera Craig Grant,"Jefferson County, Alabama",https://ballotpedia.org/Shera_Craig_Grant,Judicial offices,Judicial,County,,Won,"112,247","109,501",0.976,http://www.grantforjudge.com/,,,,Democratic Party,,48.0,,5.0,,5.0,,,,,5,67,4,53,10,0,1747,526,61.556,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0
Rachel Mitchell,"Maricopa County, Arizona",https://ballotpedia.org/Rachel_Mitchell_(Arizona),County attorney,Executive,County,,Won,"1,455,181","768,931",0.528,https://www.rachelmitchellformaricopa.com/,Rachel1Mitchell,,,Republican Party,1.0,42.0,38.0,,14.0,,,10.0,8.0,,10,135,40,55,22,18,5588,1175,57.966,3.0,,,,,,5.0,,,,,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,17.0,2.0,0.0,6.0,0.0,0.0,0.0,16.0
Julie Gunnigle,"Maricopa County, Arizona",https://ballotpedia.org/Julie_Gunnigle,County attorney,Executive,County,,Lost,"1,455,181","686,250",0.472,https://gunnigle2022.com/,,,,Democratic Party,,40.0,,9.0,,9.0,,18.0,,2.0,9,136,16,45,18,57,4339,1158,44.17444444,39.0,,,,,,,,,,,,,,8.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,64.0,8.0,3.0,0.0,10.0,4.0,0.0,0.0,39.0
Jeff Fine,"Maricopa County, Arizona",https://ballotpedia.org/Jeff_Fine,County clerk,Judicial,County,,Won,"725,545","725,545",1.0,https://www.fine4clerk.com,,,,Republican Party,,,1.0,5.0,,,,5.0,6.0,,6,17,1,0,11,5,382,64,50.93166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0
Thomas Galvin,"Maricopa County, Arizona",https://ballotpedia.org/Thomas_Galvin,Board of supervisors,Legislative,County,District 2,Won,"177,980","177,980",1.0,https://www.galvinaz.com/,thomasgalvin,,,Republican Party,16.0,30.0,2.0,1.0,8.0,1.0,,23.0,3.0,,10,111,5,57,14,35,1170,553,53.30444444,12.0,2.0,,,,,,1.0,,,,9.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,27.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
Darlene Martinez,"Maricopa County, Arizona",https://ballotpedia.org/Darlene_Martinez,County constable,Executive,County,,Won,"7,977","7,977",1.0,https://www.darlenemartinezfordowntown.com/,TheDarlene,,,Democratic Party,30.0,,,,,,,,5.0,,5,66,28,30,5,3,1187,541,41.626,3.0,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,41.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0
Scott Blake,"Maricopa County, Arizona",https://ballotpedia.org/Scott_Blake_(Arizona),County constable,Executive,County,,Won,"62,845","62,845",1.0,http://www.arizonaconstable.com/,,,,Republican Party,4.0,,,1.0,,1.0,,,1.0,,1,8,0,5,3,0,1023,437,62.07,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bridget Bellavigna,"Maricopa County, Arizona",https://ballotpedia.org/Bridget_Bellavigna,County constable,Executive,County,,Won,"59,493","35,327",0.594,https://bb4az.com/,BB4AZ,,,Democratic Party,12.0,,,,2.0,,1.0,,2.0,,4,18,0,12,5,1,751,300,44.3575,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Diaz,"Maricopa County, Arizona",https://ballotpedia.org/Daniel_Diaz_(Arizona),County constable,Executive,County,,Lost,"59,493","24,166",0.406,https://www.diazforkyreneconstable.com/,,,,Republican Party,,,,1.0,,1.0,,,1.0,,1,4,0,1,3,0,44,39,85.69,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karyn Lathan,"Maricopa County, Arizona",https://ballotpedia.org/Karyn_Lathan,County constable,Executive,County,,Won,"15,509","15,509",1.0,https://karynforconstable.com/,constablekaryn,,KarynLathan,Democratic Party,,5.0,3.0,,1.0,,9.0,,1.0,,8,20,1,8,11,0,733,298,56.50125,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
Karen Peters,"Maricopa County, Arizona",https://ballotpedia.org/Karen_Peters_(Arizona),Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","321,266",0.073,https://www.karenpeters.info,,,peterskaren,Nonpartisan,1.0,2.0,,2.0,,2.0,,,1.0,,2,11,1,5,5,0,33,24,131.04,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Alan Dulaney,"Maricopa County, Arizona",https://ballotpedia.org/Alan_Dulaney,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","291,593",0.066,https://www.alandulaneyforcawcd.com/,,,h2o_alan,Nonpartisan,,5.0,,,,,,,5.0,,5,10,0,5,5,0,18680,3012,-19.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,49.0
Cory Mishkin,"Maricopa County, Arizona",https://ballotpedia.org/Cory_Mishkin,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","162,381",0.037,https://coryforcap.com/,corymishkin,,,Nonpartisan,8.0,112.0,2.0,15.0,,15.0,,30.0,6.0,,30,221,3,122,36,60,2391,566,54.649,30.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,10.0
Daniel Cirignani Wood,"Maricopa County, Arizona",https://ballotpedia.org/Daniel_Cirignani_Wood,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","148,897",0.034,https://www.895iszero.com/,,,,Nonpartisan,20.0,48.0,1.0,,,,,,2.0,,14,71,1,68,2,0,9970,2052,32.31428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,47.0
Kelli Butler,"Maricopa County, Arizona",https://ballotpedia.org/Kelli_Butler,Maricopa County Community College District,Legislative,County,At-large,Won,"1,008,112","651,517",0.646,https://www.kellibutleraz.org/,,,,Nonpartisan,,,4.0,,2.0,,,6.0,3.0,,6,21,4,6,5,6,1734,603,58.98666667,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
