Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
Alameda County Library,"Alameda County, CA",https://aclibrary.org/,https://aclibrary.bibliocommons.com/,Sierra,2013,Millennium,2003,Innopac,1993,PLUS,1975,BiblioCore,2019,Encore,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Public Library,"Albany, NY",https://www.albanypubliclibrary.org/,http://vufind.uhls.org/vufind/,Sierra,2014,Horizon,2003,DRA,1996,None,,VuFind,2012,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Bernalillo County Library System,"Albuquerque -- Bernalillo County, NM",https://abqlibrary.org/home,http://albuq.cabq.gov,Symphony,2022,Sierra,2011,Millennium,2001,Innopac,1997,Encore,,,,GLIS,1985,Research Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria Library,"Alexandria, VA",https://alexlibraryva.org/,https://alxndria.ent.sirsi.net/client/en_US/home,Symphony,2009,Horizon,2005,Advance,1995,GLIS,1980,Enterprise,,,,,,,,Communico,,Barcode,,Techlogic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen County Public Library,"Allen County, IN",https://acpl.lib.in.us/,http://webcat.acpl.lib.in.us/uhtbin/cgisirsi/x/0/0/49,OCLC Wise,2018,Symphony,1998,PLUS,1989,None,,,,,,,,,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage Public Library,Anchorage Public Library,https://www.anchoragelibrary.org/,http://jlc-web.uaa.alaska.edu/client/apl,Symphony,2004,DRA,1996,GLIS,1984,,,Enterprise,,,,,,,,,,,,Bibliotheca,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel County Public Library,"Anne Arundel County, MD",https://www.aacpl.net/,https://catalog.aacpl.net,Symphony,2003,DRA,1995,,,,,VuFind -- Pika,2017,Enterprise,2012,,,,,,,Barcode,,,,,,EBSCO Discovery Service,2018,Meescan Inc.,,,,,,,,,,,,,,,,,,,,,
Arapahoe Library District,"Arapahoe County, CO",https://arapahoelibraries.org/,http://aspen.ald.lib.co.us/,Sierra,2011,Millennium,2001,Innopac,1997,GLIS,1991,BiblioCore,2016,,,None,,,,BiblioWeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Heights Memorial  Library,"Arlington Heights, IL",https://www.ahml.info/,,Sierra,2016,Millennium,2001,Innopac,1991,CLSI,1976,SOPAC,2011,,,None,,,,Drupal,,Barcode,,,,LibraryThing for Libraries,,,,Express Lane,,,,,,,,,,,,,,,,,,,,,
Arlington County Public Library,"Arlington, VA",https://library.arlingtonva.us/,https://libcat.arlingtonva.us/,Koha -- ByWater Solutions,2019,Sierra,2011,Millennium,2010,Carl.X,2004,Aspen Discovery -- ByWater Solutions,2020,VuFind -- Pika,2015,NOTIS,1984,,,WordPress,,,,,,,,,,Express Lane,,,,,,,,,,,,,,,,,,,,,
Atlanta-Fulton Public Library,"Atlanta - Fulton County, GA",https://www.fulcolibrary.org/,https://afpls.bibliocommons.com/search,Symphony,2003,Carl,1993,UTLAS,1985,,,BiblioCore,2019,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Aurora Public Library,"Aurora, CO",https://www.auroragov.org/things_to_do/aurora_public_library,http://odyssey.aurora.lib.co.us/search/,Sierra,2016,Millennium,1999,Innopac,1999,PLUS,1979,VuFind -- Pika,2018,,,,,,,,,Barcode,,,,LibraryThing for Libraries,,,,,,HF,,,,,,,,,,,,,,,,,,,
Baltimore County Public Library,"Baltimore County, MD",https://www.bcpl.info/index.html,http://catalog.bcpl.lib.md.us/polaris/,Polaris,2009,Carl,1993,CLSI,1975,None,,,,AquaBrowser Library,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Enoch Pratt Free Library,"Baltimore, MD",https://www.prattlibrary.org/,http://catalog.prattlibrary.org/client/en_US/default/,Symphony,1997,,,,,,,,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Public Library,"Birmingham, AL",http://www.bham.lib.al.us/,https://jeffa.na.iiivega.com/,Sierra,2013,Millennium,2000,Innopac,1996,CLSI,1981,Vega Discover,2021,Encore,2008,,,,,,,Barcode,,,,,,,,Express Lane,,,,CONTENTdm,,,,,,,,,,,,,,,,,
Boston Public Library,"Boston, MA",https://www.bpl.org/,https://bpl.bibliocommons.com/,Polaris,2012,Horizon,2001,DRA,1989,,,BiblioCore,2010,,,,,WebFeat PRISM,,,,Barcode,,,,,,None,,,,,,DigiTool,,Article Linker,,360 Resource Manager,,,,,,,,,,,,,
Bridgeport Public Library,"Bridgeport, CT",https://bportlibrary.org/,http://bridgeport.biblio.org/eg/opac/home?locg=32,Evergreen -- Independent,2011,Horizon,2004,Dynix,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Public Library,"Brooklyn, NY",https://www.bklynlibrary.org/,https://brooklyn.bibliocommons.com/,Sierra,2013,Millennium,2002,PLUS,1994,CLSI,1985,Encore,2017,BiblioCore,2012,None,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward County Library,"Broward County, FL",https://broward.ent.sirsi.net/client/en_US/default/?,https://broward.ent.sirsi.net/client/en_US/default/?,Symphony,2020,Carl.X,2010,Carl,1994,UTLAS,1988,Enterprise,2019,LS2 PAC,,DataPhase,1979,WebFeat PRISM,,,,Barcode,,,,,,,,,,,,CONTENTdm,,,,,,,,,,,,,,,,,
Buffalo and Erie County Public Library,"Buffalo, NY",https://www.buffalolib.org/,http://web2.buffalolib.org/,Symphony,2004,DRA,1982,None,,,,,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Calgary Public Library,"Calgary, AB",https://calgarylibrary.ca/,https://calgary.bibliocommons.com/,Symphony,2009,Horizon,2004,Dynix,1995,,,BiblioCore,2014,,,,,,,BiblioCMS,,RFID,,3M,,,,,,Sentry QuickCheck,,,,,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
Camden County Library System,"Camden County, NJ",https://www.camdencountylibrary.org/,https://catalog.camdencountylibrary.org,Koha -- ByWater Solutions,2016,Millennium,2001,DRA,1996,None,,,,,,,,,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,,,,,,,,,,,,
Carlsbad City Library,"Carlsbad, CA",https://library.carlsbadca.gov/,https://cbcl.sdp.sirsi.net/,Symphony,2003,INLEX/3000,1987,,,,,Enterprise,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmel Clay Public Library,"Carmel, IN",https://carmelclaylibrary.org/,http://webcat.carmel.lib.in.us/,Symphony,2003,PLUS,1986,,,,,BiblioCore,2019,Enterprise,2011,,,,,,,RFID,,,,,,,,i-circ,,HF,,,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
Carroll County Public Library,"Carroll County, MD",https://library.carr.org/,http://catalog.carr.org/,Polaris,2009,Horizon,2003,Dynix,1992,CLSI,1987,,,AquaBrowser Library,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattahoochee Valley Libraries,"Chattahoochee Valley, GA",https://www.cvlga.org/,http://chattahoochee.polarislibrary.com/polaris/,Polaris,2010,Horizon,2001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
