Library,Location,State,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Item ID Type Name,Item ID Type Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Digital Asset Magement Name,Digital Asset Magement Year,Self-Check Name,Self-Check Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Federated search product Name,Federated search product Year,Electronic Resource Magement Name,Electronic Resource Magement Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Automated Materials Handling Name,Automated Materials Handling Year,Web Content Magement Name,Web Content Magement Year,RFID Provider Name,RFID Provider Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Catalog Enhancement Name,Catalog Enhancement Year,RFID Tag Type Name,RFID Tag Type Year,Institutiol Repository Name,Institutiol Repository Year,Research Services Tool Name,Research Services Tool Year,Previous Discovery Index Name,Previous Discovery Index Year,Archives Magement Name,Archives Magement Year,Previous Link resolver Name,Previous Link resolver Year,number_of_total_trackers_homepage,behaviour_event_listeners_homepage,canvas_fingerprinters_homepage,canvas_font_fingerprinters_homepage,cookies_homepage,fb_pixel_events_homepage,key_logging_homepage,session_recorders_homepage,third_party_trackers_homepage,google_homepage,google_analytics_homepage,facebook_homepage,number_of_total_trackers_catalog,behaviour_event_listeners_catalog,canvas_fingerprinters_catalog,canvas_font_fingerprinters_catalog,cookies_catalog,fb_pixel_events_catalog,key_logging_catalog,session_recorders_catalog,third_party_trackers_catalog,google_catalog,google_analytics_catalog,facebook_catalog
Abbeville Memorial Library,"Abbeville, AL",Alabama,https://www.abbevillelibrary.org/,http://abbeville.booksys.net/opac/aml/index.html#menuHome,Atriuum,2011.0,Concourse,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,24.0,16.0,12.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adamsville Public Library,"Adamsville, AL",Alabama,http://adamsville.lib.al.us/,http://encore.bham.lib.al.us/iii/encore/?lang=eng,Sierra,2013.0,Millennium,2000.0,Innopac,1996.0,CLSI,1981.0,Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0
Albert L. Scott Library,"Alabaster, AL",Alabama,https://www.cityofalabaster.com/221/Library,http://catalog.shelbycounty-al.org/polaris/,Polaris,2002.0,Galaxy,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,12.0,0.0,0.0,22.0,0.0,0.0,0.0,23.0,17.0,8.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albertville Public Library,"Albertville, AL",Alabama,https://www.cityofalbertville.com/206/Library,http://68.157.229.254:88/,Atriuum,2019.0,Concourse,1997.0,Master Library System,1994.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0,29.0,25.0,12.0,0.0,,,,,,,,,,,,
Adelia McConnell Russell Library,"Alexander City, AL",Alabama,https://alexandercityal.gov/library/page/adelia-m-russell-library,https://amrlibrary.booksys.net/opac/amrl/index.html#menuHome,Atriuum,,Concourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,8.0,2.0,0.0,8.0,0.0,0.0,0.0,73.0,70.0,58.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliceville Public Library,"Aliceville, AL",Alabama,https://www.pickenslibrary.com/aliceville-public-library.html,,Atriuum,,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,30.0,6.0,0.0,3.0,,,,,,,,,,,,
Andalusia Public Library,"Andalusia, AL",Alabama,https://www2.youseemore.com/andalusia/default.asp,http://www.andylibrary.com/,Atriuum,2022.0,Library.Solution,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab Public Library,"Arab, AL",Alabama,http://www.arabpubliclibrary.com/,,Atriuum,2010.0,Athe,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Arley Public Library,"Arley, AL",Alabama,https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Library.Solution,2007.0,,,,,,,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0
Ashland City Public Library,"Ashland, AL",Alabama,https://www.cityofashlandal.com/library,http://216.180.36.15/,Atriuum,2015.0,Concourse,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,34.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McCain Memorial Public Library,"Ashville, AL",Alabama,http://www.ashvillepubliclibrary.org/?fbclid=IwAR2BRBqeD5f798izOSdTNl8m706dlNKwEOVMAnPKqhdqR7nPD1IWXvR7oH8,,Infocentre,2006.0,Winnebago Spectrum,1991.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
