names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Wendell Major,Alabama,Attorney General,State,Executive,https://ballotpedia.org/Wendell_Major,https://wendellmajor.com/,,,,Democratic Party,Lost,"1,307,653","424,718",0.325,29,5,0,0,15,0,0,0,9,,,0.175,0,6,0,State
Kris Mayes,Arizona,Attorney General,State,Executive,https://ballotpedia.org/Kris_Mayes,https://www.krismayes.com,krismayes,,,Democratic Party,Won,"2,512,390","1,254,809",0.499,19,11,0,0,4,0,0,0,4,,,0.001,0,0,0,State
Jessica Kordas,Connecticut,Attorney General,State,Executive,https://ballotpedia.org/Jessica_Kordas,https://www.jessicakordas2022.com/,Jkordas2022,,,Republican Party,Lost,"1,215,234","508,753",0.419,3,0,0,0,3,0,0,0,0,,,0.081,0,0,0,State
Julianne Murray,Delaware,Attorney General,State,Executive,https://ballotpedia.org/Julianne_Murray,https://murrayfordelaware.com,murray4de,,,Republican Party,Lost,"319,156","147,353",0.462,1,0,0,0,1,0,0,0,0,,,0.038,0,0,0,State
Aramis Ayala,Florida,Attorney General,State,Executive,https://ballotpedia.org/Aramis_Ayala,https://www.aramisayala.com/,AramisAyalaFL,,,Democratic Party,Lost,"7,016,437","2,788,438",0.397,6,0,0,0,1,0,0,0,5,,,0.103,5,0,0,State
Raúl Labrador,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Raul_Labrador,http://labrador2022.com/,RaulLabrador4ID,,Raul_Labrador,Republican Party,Won,"583,610","365,061",0.626,42,14,4,0,4,0,0,0,20,,,0.126,0,0,0,State
Tom Arkoosh,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Tom_Arkoosh,https://www.arkooshforag.com/,ArkooshForAG,,,Democratic Party,Lost,"583,610","218,549",0.374,47,25,7,0,4,0,0,0,11,,,0.126,0,0,0,State
Thomas DeVore,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Thomas_DeVore,https://www.tomdevore.com/,,,,Republican Party,Lost,"3,782,932","1,662,788",0.44,31,9,6,1,5,0,0,0,10,,,0.06,3,4,0,State
Dan Robin,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Dan_Robin,https://danrobin4ag.org/,,,,Libertarian Party,Lost,"3,782,932","84,394",0.022,8,5,0,0,3,0,0,0,0,,,0.478,0,0,0,State
Kris Kobach,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Kris_Kobach,https://kriskobach.com/,KrisKobach1787,,,Republican Party,Won,"965,214","494,021",0.512,5,2,3,0,0,0,0,0,0,,,0.012,0,0,0,State
Chris Mann,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Chris_Mann_(Kansas),https://www.chrismannforkansas.com/,chrismannks,,,Democratic Party,Lost,"965,214","471,193",0.488,92,13,4,0,27,4,0,0,44,,,0.012,12,4,16,State
Michael Anthony Peroutka,Maryland,Attorney General,State,Executive,https://ballotpedia.org/Michael_Anthony_Peroutka,https://patriots4peroutka.com,Patriots4Perou1,,,Republican Party,Lost,"1,467,148","586,423",0.4,27,8,0,0,14,0,0,0,5,,,0.1,0,0,0,State
Andrea Campbell,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/Andrea_Joy_Campbell,https://www.andreacampbell.org/,AndreaForAG,,,Democratic Party,Won,"1,981,739","1,241,298",0.626,305,34,2,0,120,2,0,2,145,,,0.126,13,3,5,State
James McMahon,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/James_McMahon,https://www.attorneyjaymcmahon.com/,attorneymcmahon,,,Republican Party,Lost,"1,981,739","740,441",0.374,95,12,2,0,5,0,0,0,76,,,0.126,0,0,0,State
